_Mobile & Laptop Accessories_Mobile & Tablet Accessories_Screen Protectors,/Mobile & Laptop Accessories/Mobile & Tablet Accessories/Screen Protectors,,,Seg123
_Jewelry & Watches_Jewellery_Fashion Jewellery_Earrings,/Jewelry & Watches/Jewellery/Fashion Jewellery/Earrings,,,Seg124
_Home & Kitchen_Decor_Wall Decor_Posters,/Home & Kitchen/Decor/Wall Decor/Posters,,,Seg125
_technology_gaming,/technology/gaming,,,Seg126
_Fashion_Women's Clothing_Ethnic Wear_Dress Material,/Fashion/Women's Clothing/Ethnic Wear/Dress Material,,,Seg127
_business_markets,/business/markets,,,Seg128
_Mobile & Laptop Accessories_Mobile & Tablet Accessories_Adapters & Chargers,/Mobile & Laptop Accessories/Mobile & Tablet Accessories/Adapters & Chargers,,,Seg129
_Mobile & Laptop Accessories_Computer Accessories_Adapters & Chargers,/Mobile & Laptop Accessories/Computer Accessories/Adapters & Chargers,,,Seg130
_Books & Daily Needs_Books_Literature,/Books & Daily Needs/Books/Literature,,,Seg131
_Fashion_Women's Clothing_Ethnic Wear_Kurta/Kurtis,/Fashion/Women's Clothing/Ethnic Wear/Kurta/Kurtis,,,Seg132
_Home & Kitchen_Decor_Wall Decor_Wall Stickers,/Home & Kitchen/Decor/Wall Decor/Wall Stickers,,,Seg133
_technology_mobiles,/technology/mobiles,,,Seg134
_Mobile & Laptop Accessories_Mobile & Tablet Accessories,/Mobile & Laptop Accessories/Mobile & Tablet Accessories,,,Seg135
_Home & Kitchen_Kitchen and Dining_Tableware_Tea & Coffee Serveware_Mugs & Cups,/Home & Kitchen/Kitchen and Dining/Tableware/Tea & Coffee Serveware/Mugs & Cups,,,Seg136
_Fashion_All Men's Accessories_Socks,/Fashion/All Men's Accessories/Socks,,,Seg137
_Home & Kitchen_Home Furnishing_Curtains_Door Curtains,/Home & Kitchen/Home Furnishing/Curtains/Door Curtains,,,Seg138
regional,regional,,,Seg139
_Home & Kitchen_Home Furnishing_Pillows & Cushions_Pillow Covers,/Home & Kitchen/Home Furnishing/Pillows & Cushions/Pillow Covers,,,Seg140
_Fashion_Men's Clothing_T-shirts & Polos_T-Shirts,/Fashion/Men's Clothing/T-shirts & Polos/T-Shirts,,,Seg141
