Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
ANDHRA PRADESH,MAHABUBNAGAR,SZAPMBNRTCSTND,TSRTC bus stand Mahaboobnagar,Bus Terminal,,64
ANDHRA PRADESH,NALGONDA,SZAPNGDRTCBSTD,Nalgonda TSRTC,Bus Terminal,,3398
ANDHRA PRADESH,NIZAMABAD,SZAPNZBBUSSTOP,Nizamabad APSRTC bus stop,Bus Terminal,,5884
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYAIRPORT,Rajahmundry airport,Airport,,712
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYAPLOHSP,APOLO HOSPITAL Kakinada.,Hospital,,236
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYBTEKKND,BSNL Telephone Exchange  Kakinada.,Telephone exchange,,231
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYCLCTRTO,Collectorate Kakinada.,Municipality,Collectorate Office,185
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYDRDAKAK,DRDA KAKINADA.,,,12
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGACEGD,Arts College Ground,College,,967
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGBOLHP,Bollineni Hospital,Hospital,,789
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGGAPRK,Gandhi Park Rajamundry,Park,,530
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGKACRU,Kambala cheruvu,Municipality,Junction,1229
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGRAPCB,Rajahmundry APSRTC Bus stand,Bus Terminal,,2287
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGRTCBK,APRTC  Bus Stand Kakinad East Godavari,Bus Terminal,,4225
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYEGSAIHP,Sai Hospital Rajamundry,Hospital,,21
ANDHRA PRADESH,ELURU,SZAPRMYELRMNCS, CSC BSNL MAIN BHAVAN Eluru..,BSNL Bhavan,,35
ANDHRA PRADESH,ELURU,SZAPRMYELRMVCS,CSE MOTHEY VARI BULDING ,Municipality,,243
ANDHRA PRADESH,ELURU,SZAPRMYELRTDCS,CSC TTD RSU,,,47
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYGKVRMBS,GOKAVARAM BUS STOP Rajahmundry,Bus Terminal,,1122
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYHPINTHP,Hope International Hospital Kakinada,Hospital,,573
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYRCPMCTR,RamachandrapuramMarket centre.,Market,,167
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYRCPMOBS,RAMACHANDRAPURAM OLD BUS STOP,Bus Terminal,,375
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYSBDRARD,SUBDRA ARCADE,Mall,,173
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYVVKNDPK,Vivekananda Park Kakinada.,Park,,922
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYWGERTCB,Eluru APSRTC,Bus Terminal,,3828
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYWGKRTCB,Kovuru APSRTC Bus stand ,Bus Terminal,,
ANDHRA PRADESH,RAJAHMUNDRY,SZAPRMYWGNRTCB,Narasapur RTC Bus stand,Bus Terminal,,
ANDHRA PRADESH,SANGAREDDY,SZAPSGDRTCBSMK,Patancheru APSRTC bus stand Medak,Bus Terminal,,
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWAIRPORT,Vijayawada Airport,Airport,,1919
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWAPSRTCS,Pandit Nehru Vijayawada APSRTC Bustand,Bus Terminal,,6582
