Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
MADHYA PRADESH,BHOPAL,WZMPBPLPIPLAEX,Piplani Exchange AP 1.Bhopal,Telephone exchange,,1197
MADHYA PRADESH,BHOPAL,WZMPBPLPNDAVIG,Phanda Village,Village,,294
MADHYA PRADESH,BHOPAL,WZMPBPLPRESSCX,Press Complex Zone-1 MP Nagar,Office Complex,,724
MADHYA PRADESH,BHOPAL,WZMPBPLQTYBDZ2,Quality Building Zone-2 ,,,530
MADHYA PRADESH,BHOPAL,WZMPBPLRAJIVTE,Rajivnagar Exchange,Telephone exchange,,172
MADHYA PRADESH,BHOPAL,WZMPBPLRAMACMP,Rama Complex Zone-1,Office Complex,,533
MADHYA PRADESH,BHOPAL,WZMPBPLRGVPUTY,RGVP University,University,,173
MADHYA PRADESH,BHOPAL,WZMPBPLSAKTNGR,Saket Nagar Bhopal,Municipality,,4
MADHYA PRADESH,BHOPAL,WZMPBPLSBJMAND,Sabji Mandi ,Municipality,,138
MADHYA PRADESH,BHOPAL,WZMPBPLUPRLAKE,Upper Lake,Tourist Spot,,990
MADHYA PRADESH,CHHINDWARA,WZMPCHWBSNLOFC,BNSL Office,BSNL OfficeBSNL OfficeBSNL OfficeBSNL Office,,1038
MADHYA PRADESH,CHHINDWARA,WZMPCHWCOLCTCM,The Collectorate Campus  Chhindwara.,Municipality,,394
MADHYA PRADESH,CHHINDWARA,WZMPCHWSAKRTRH,Satkar Tiraha (New Bus Stand).,Bus Stand,,937
MADHYA PRADESH,CHHATARPUR,WZMPCPUKHJARPT,Khajuraho Airport,Airport,,
MADHYA PRADESH,BHOPAL,WZMPCPUKHJRAHO,Varaha Temple,Temple,,792
MADHYA PRADESH,DHAR,WZMPDHRMNDUSTP,Mandu Bust stand / Jama Maszid,Bus Stand,,
MADHYA PRADESH,GWALIOR,WZMPGWLCITYCTR,City Center,Municipality,,183
MADHYA PRADESH,GWALIOR,WZMPGWLMORARBE,Morar BSNL Exchange Office,Telephone exchange,,3
MADHYA PRADESH,GWALIOR,WZMPGWLNCLCTRT,New Collectorate,,,479
MADHYA PRADESH,GWALIOR,WZMPGWLPNBMBTS,PNB Morar BSNL BTS,BSNL Office,,13
MADHYA PRADESH,GWALIOR,WZMPGWLPTCOLNY,P&T Colony,Residential,,509
MADHYA PRADESH,GWALIOR,WZMPGWLWINDSOR,Windsor Hills ,Residential,,194
MADHYA PRADESH,INDORE,WZMPINDAHLYPUR,Ahilya Pura Indore.,Municipality,Town,144
MADHYA PRADESH,INDORE,WZMPINDGNTMPKJ,Ganesh Temple,Temple,,799
MADHYA PRADESH,INDORE,WZMPINDHTLNRVN,Hotel Nirvana,Hotel,,
MADHYA PRADESH,INDORE,WZMPINDHWDRCMG,Happy Wonders Chimanbag,Resort,,
MADHYA PRADESH,INDORE,WZMPINDJWHRMRG,Jawahar Marg ,Municipality,Locality,154
MADHYA PRADESH,INDORE,WZMPINDMGDOTPK,Meghdoot Park Indore,Tourist Spot,,177
MADHYA PRADESH,INDORE,WZMPINDNAYANGR,Nyay Nagar Indore.,Municipality,Town,
MADHYA PRADESH,INDORE,WZMPINDNRUPRK1,Nehru Park-1 Indore,Park,,508
MADHYA PRADESH,INDORE,WZMPINDNVRTNBG,Navaratan Bagh,Municipality,Town,30
MADHYA PRADESH,INDORE,WZMPINDPOTLODV,Potload Village,Village,,235
MADHYA PRADESH,INDORE,WZMPINDPTRKRCN,Patrakar Colony.,Municipality,Locality,108
MADHYA PRADESH,INDORE,WZMPINDRAJAWDA,Rajwada,Historical Site,,792
MADHYA PRADESH,INDORE,WZMPINDRGLPARK,Reginal Park,Park,,240
MADHYA PRADESH,INDORE,WZMPINDSCHME71,Scheme 71,,,40
MADHYA PRADESH,INDORE,WZMPINDTNPTNGR,Transport Nagar,Municipality,Town,69
MADHYA PRADESH,INDORE,WZMPINDZOOINDR,Kamla Nehru Prani Udyan Indore (Zoo).,Zoo,,124
MADHYA PRADESH,JABALPUR,WZMPJBPCTOBSNL,CTO BSNL NEW Building,Office,,923
MADHYA PRADESH,JABALPUR,WZMPJBPKRISHIM,VIJAY NAGAR BSNL Exchange,Telephone exchange,,281
MADHYA PRADESH,JABALPUR,WZMPJBPMLNGJEX,Miloniganj JBP.,Municipality,Town,467
MADHYA PRADESH,JABALPUR,WZMPJBPRNGBZEX,Ranjhi Bazar Jabalpur.,Municipality,Road,308
MADHYA PRADESH,JABALPUR,WZMPJBPSRDRMKT,SADAR MARKET BSNL Exchange.,Telephone exchange,,520
MADHYA PRADESH,JABALPUR,WZMPJBPTTCEXEG,TTC BSNL Exchange,Telephone exchange,,33
MADHYA PRADESH,JABALPUR,WZMPJBPWRIGHTN,Wright town,Municipality,Town,467
MADHYA PRADESH,RAISEN,WZMPRSNSSMNDIR,Sanchi Stupa Mandir,Temple,,451
MADHYA PRADESH,BHOPAL,WZMPSAUORCHATL,Orchaa Temple,Temple,,33
MADHYA PRADESH,UJJAIN,WZMPUJNCMDHSPT,Chamunda Hospital,Hospital,,460
MADHYA PRADESH,UJJAIN,WZMPUJNGPLMNDR,Gopal Temple,Temple,,1308
MADHYA PRADESH,UJJAIN,WZMPUJNISCONTM,ISKON Temple,Temple,,867
MADHYA PRADESH,UJJAIN,WZMPUJNKBHVTMP,Kalbhairav Temple,Temple,,1465
MADHYA PRADESH,UJJAIN,WZMPUJNNANKDBS,C21 Mall (Nanakheda  Bus Stand),Mall,,1643
MADHYA PRADESH,UJJAIN,WZMPUJNRLWAYP2,Railway station POP location 2  Ujjain,Railway Station,,874
MADHYA PRADESH,UJJAIN,WZMPUJNTWRCHKF,Tower Chowk,Municipality,Junction,3370
