Id,States
1169,Cheshire East
1170,Wolverhampton
1171,Waltham Forest
1172,Antrim
1173,Lancashire
1174,Essex
1175,Milton Keynes
1176,Bexley
1177,Shetland Islands
1178,Islington
1179,Luton
1180,South Ayrshire
1181,Rutland
1182,Bury
1183,Argyll and Bute
1184,Sutton
1185,Banbridge
1186,Wandsworth
1187,Isle of Wight
1188,Leeds
1189,Barnet
1190,Westminster
1191,Isles of Scilly
1192,Redcar and Cleveland
1193,Magherafelt
1194,East Ayrshire
1195,Halton
1196,Worcestershire
1197,Eilean Siar
1198,North Somerset
1199,Walsall
1200,Middlesbrough
1201,Wigan
1202,Blaenau Gwent
1203,Swansea
1204,Vale of Glamorgan, The
1205,Torbay
1206,Lincolnshire
1207,Richmond upon Thames
1208,Derbyshire
1209,Camden
1210,Cheshire West and Chester
1211,Redbridge
1212,Buckinghamshire
1213,Wokingham
1214,Medway
1215,Reading
1216,Inverclyde
1217,Aberdeen City
1218,East Sussex
1219,Bournemouth
1220,East Renfrewshire
1221,Hackney
1222,Thurrock
1223,Angus
1224,Cambridgeshire
1225,Isle of Anglesey
1226,West Sussex
1227,Salford
1228,Fermanagh
1229,Saint Andrew
1230,Saint John
1231,Saint George
1232,Saint Mark
1233,Saint Patrick
1234,Saint David
1235,Ninotsmindis Raioni
1236,Senakis Raioni
1237,P'ot'i
1238,Lanch'khut'is Raioni
1239,Martvilis Raioni
1240,Dedop'listsqaros Raioni
1241,Dmanisis Raioni
1242,T'elavis Raioni
1243,Kaspis Raioni
1244,Vanis Raioni
1245,K'ut'aisi
1246,Bolnisis Raioni
1247,Rust'avi
1248,Abashis Raioni
1249,Baghdat'is Raioni
1250,Mestiis Raioni
1251,Gori
1252,Sach'kheris Raioni
1253,Goris Raioni
1254,Aspindzis Raioni
1255,Akhalgoris Raioni
1256,T'erjolis Raioni
1257,Lagodekhis Raioni
1258,Zestap'onis Raioni
1259,Gardabanis Raioni
1260,Ajaria
1261,Akhalts'ikhis Raioni
1262,Khobis Raioni
1263,Ch'khorotsqus Raioni
1264,Khashuris Raioni
1265,Akhmetis Raioni
1266,Ozurget'is Raioni
1267,T'ianet'is Raioni
1268,Tsalenjikhis Raioni
1269,Lentekhis Raioni
1270,T'et'ritsqaros Raioni
1271,Akhalk'alak'is Raioni
1272,Kharagaulis Raioni
1273,Tsqaltubo
1274,Gurjaanis Raioni
1275,Abkhazia
1276,Marneulis Raioni
1277,Onis Raioni
1278,Dushet'is Raioni
1279,Ts'ageris Raioni
1280,T'bilisi
1281,K'arelis Raioni
1282,Sagarejos Raioni
1283,Khonis Raioni
1284,Ch'okhatauris Raioni
1285,Samtrediis Raioni
1286,Mts'khet'is Raioni
1287,Qazbegis Raioni
1288,Zugdidi
1289,Qvarlis Raioni
1290,Zugdidis Raioni
1291,Chiat'ura
1292,Borjomis Raioni
1293,Adigenis Raioni
1294,Javis Raioni
1295,Tsalkis Raioni
1296,Tqibuli
1297,Ambrolauris Raioni
1298,Sighnaghis Raioni
1299,Upper East
1300,Ashanti
1301,Greater Accra
1302,Central
1303,Northern
1304,Volta
1305,Upper West
1306,Western
1307,Brong Ahafo
1308,Eastern
1309,Ostgronland
1310,Vestgronland
1311,Nordgronland
1312,Western
1313,North Bank
1314,Banjul
1315,Lower River
1316,Upper River
1317,Central River
1318,Kissidougou
1319,Siguiri
1320,Dabola
1321,Yomou
1322,Nzerekore
1323,Lola
1324,Kindia
1325,Koubia
1326,Kerouane
1327,Telimele
1328,Koundara
1329,Conakry
1330,Fria
1331,Kouroussa
1332,Faranah
1333,Kankan
1334,Tougue
1335,Mandiana
1336,Boffa
1337,Dubreka
1338,Mamou
1339,Gaoual
1340,Labe
1341,Pita
1342,Boke
1343,Forecariah
1344,Lelouma
1345,Coyah
1346,Macenta
1347,Beyla
1348,Mali
1349,Dinguiraye
1350,Gueckedou
1351,Dalaba
1352,Wele Nzas
1353,Litoral
1354,Bioko Sur
1355,Bioko Norte
1356,Annobon
1357,Kie Ntem
1358,Centro Sur
1359,Aitolia kai Akarnania
1360,Trikala
1361,Kastoria
1362,Evritania
1363,Dhodhekanisos
1364,Fthiotis
1365,Khios
1366,Thesprotia
1367,Fokis
1368,Korinthia
1369,Preveza
