3875926410.3091379178.3823956431,53
3904343977.3168042590.541651726,53
4081027715.866799712.966883230,53
2087026611.2165990272.537543655,52
3450908521.861682402.3934469078,52
1796458635.2205831437.1987186594,51
1704348326.1476902138.808114237,50
2556251561.3231342312.3716455314,50
2964519481.1126491149.2778497694,50
3070292842.3150992396.1470469197,50
3808726050.4058220809.3277974343,50
3416075439.519213552.2874868922,49
3955468436.57655139.1679402240,49
1297821850.1678755576.104731562,48
2210641317.4164456141.1709693916,48
3680594578.265863924.1693971141,48
4232628470.2168571807.4220966044,48
1086904285.4017872677.951221157,47
1481371777.1738064609.3832112353,47
2163533686.2393308992.659816661,47
3807098197.3400479247.2341757917,47
843095257.220411996.1377514659,47
1743146823.204678954.332448762,46
1982815690.2521715334.3049309917,46
2509666158.394973577.4042075787,46
2517606600.669377014.3277974343,46
3393177314.1469981513.2895683339,46
1264960806.3288822885.1636451078,45
1693555910.4096048117.1608765055,45
1781608099.961889674.3266747573,45
3952975824.3165759581.4284077933,45
4108204599.3516462588.3386161710,45
1863077089.2903885067.1666472451,44
2966101559.3847809120.3003376412,44
3063430636.3835480334.3998207860,44
2282775366.2317618114.3737134756,43
2565376741.2441814201.3854125319,43
3086040811.735550468.87303105,43
4099870564.692246208.2421334590,43
4257767298.3042519432.1286774245,43
629627383.1682204100.599129221,43
1370094289.1346086932.610902437,42
2132800513.1000902013.1838714914,42
2695966488.4182216836.487924805,42
2747577630.450913483.262163279,42
2979792724.421238104.89546414,42
78502214.2385918224.442448753,42
830050681.1608317511.3788294862,42
4122438054.2200851763.4235860392,41
471309853.3501661887.3833244285,41
788746354.2845977399.2727168084,41
1459605977.1412179567.2607234769,40
1817583207.3250710928.1675171485,40
1906026473.4045148088.3538110928,40
1925941185.1683104590.3544947784,40
3251774540.3479251280.2085624081,40
3557123697.814764914.2880916202,40
3929863079.2126771700.819778687,40
221616288.2479366496.47576545,39
2007609659.25848253.3235592027,38
395320995.985025877.3617826703,38
987749190.2673259917.3076741318,38
1136211699.273915114.2544313670,37
1560602351.3885491852.2846090224,37
256001450.1117045758.528565120,37
3217247786.3770853408.3147184816,37
1158446113.2112076916.1668943006,36
2301387323.1005870891.1033709722,36
2592864788.4134363988.3017320566,36
2687903860.4236408498.2320783589,36
3258744435.1936644954.2475670496,36
1358488611.3038459140.47473746,35
1460419531.15740682.732126371,35
1529555704.1959528813.237954326,35
1971914404.2951395963.1465670264,35
2134135000.684839167.3278585325,35
262091353.968186394.2260264582,35
1683853516.3280423516.1472917760,34
3639215880.784431034.480572085,34
3731135361.839439458.394098552,34
1010729284.4265333207.2475057036,33
1286158811.4022242924.3642955513,33
188815206.3432284603.230478911,33
326821936.1456507675.2490842651,33
3665659027.1635768005.652646792,33
4091176672.2453456143.3280622676,33
914236214.2317558662.1986037480,33
1414107699.444774040.3644644843,32
2585455376.3146339783.2349436406,32
4143141644.2344371770.1826340457,32
1350158851.874065359.1608765055,31
1666637805.1723473814.1055286509,31
1739714824.1266137425.1994792186,31
2024408527.3794645405.3749021853,31
2078548698.3790067042.568428363,31
2232304202.1166544973.3676912076,31
2374022058.637480418.2673605151,31
2888561674.1922311071.1919918443,31
2998234359.606278456.680653707,31
325855479.1635768005.652646792,31
4239363340.3332210690.3132928445,31
1518387609.277509418.2316453129,30
2003475406.3020500990.1042065361,30
2471040131.1640355410.1028322505,30
2539619416.2846179213.4244575365,30
2559317936.2936890350.65133561,30
2877875825.3932663125.3575007521,30
576653208.1392027229.4205974118,30
772340223.2568063410.2320783589,30
1357331662.449365117.347895557,29
1966888212.1160221347.3629781466,29
2233914117.23556067.3946713805,29
2864926817.38521464.4070746401,29
4173478438.2967161660.2955205914,29
140641400.3338862963.3125951623,28
1428833366.34259367.3488844211,28
3944640926.2496608671.248082850,28
766792959.2609687490.1023072709,28
1213967673.917437990.2232880104,27
1298210502.1805190108.430333731,27
1397508342.1374738962.674087683,27
1747687183.618091924.1054142253,27
1901752567.2287036877.1037686275,27
2295020386.214485963.3271224165,27
2959021785.2676262839.2330533351,27
4264554436.707873384.67437709,27
718449248.3306730148.1297057308,27
761899598.1992171781.1848337665,27
1350139372.3664870046.831631497,26
1616016977.1064755019.906498110,26
2793659364.1571806945.32568378,26
3117410333.3304545919.1372467870,26
344910916.2450032760.2475492158,26
3790324171.1661901922.1115145587,26
3936162711.2343723465.1032829925,26
4215066216.1871188952.2550155461,26
512374534.3155480188.3806650260,26
586805025.2103075092.2663668818,26
1272896215.3147368309.3088057615,25
1464109533.4153622305.2296498501,25
2012209103.1206077166.4210970128,25
254151478.2815832897.3797469676,25
3638087171.1114679530.1602116175,25
3782944322.2540632358.1221722946,25
52626450.1280963489.2700895664,25
916505357.2394588437.3298617829,25
1693555910.2063396467.1608765055,24
1891833946.2587208380.3740905165,24
1928829187.2936862773.2144593098,24
2088370001.3024350186.4123077748,24
300541703.4031369715.784386711,24
365481122.2916750624.4077757007,24
3979758842.2634971495.1895489669,24
4244778207.3866012022.4277413580,24
772340223.4236408498.2320783589,24
1161650308.2170742127.537613855,23
1246712379.1327741302.3660978763,23
1666298497.1554616092.689515490,23
2066928162.1654994837.1219016037,23
288850697.1468317624.3557867196,23
293379564.2621007455.3899771672,23
2999884794.2956518698.243783052,23
3485149564.4102172071.2223644391,23
3573000461.696480268.1299966422,23
787900436.2879558194.399685748,23
998821428.1721715585.618334329,23
1172324277.1640240826.3701324802,22
1465875370.3630522135.4023736095,22
2124843121.181982002.3584512356,22
3012191500.629341306.524349156,22
3978967244.3771399953.3853862146,22
4121298616.2190317569.3681933672,22
896263119.1928572626.1443594781,22
1147654204.197214833.518550355,21
1213779626.3724830807.1757299807,21
1229384711.516484033.129224327,21
1868705379.4013516655.808114237,21
188954414.707873384.67437709,21
1898309621.1424137088.4111509744,21
2248844360.1904946531.798186641,21
2277471823.724822960.1742016491,21
2967006600.359987935.1888006987,21
3079739314.3866069263.598984058,21
3103807105.3536762929.3728543090,21
3561698763.1392027229.4205974118,21
3626277399.1771193867.2562770264,21
3652317365.1657801698.3321999338,21
391337004.1703480653.1395370772,21
429703433.1783183808.646531722,21
67931346.198027281.1366628365,21
700279792.3770811625.3089411142,21
854157012.3219611076.1059240542,21
967986707.387018731.289124480,21
1027983735.2659864644.4207860665,20
1162645358.1914240862.409799288,20
1302836094.519213552.2874868922,20
1331839115.3554425821.394098552,20
1353800187.2893014859.3191072115,20
2007534775.396566997.1186125749,20
2065581053.179767395.378613164,20
2095093212.2487190741.4252865866,20
2106869259.1775631723.220524757,20
2131572053.2112435234.3078456577,20
221126542.3705889723.4070706624,20
2407305735.2522074625.2835111203,20
2648594418.3524626408.3551178135,20
271985796.2838490682.1826090669,20
2856158517.1735509066.1013901419,20
2868376858.3452112554.1579990543,20
2996081809.974299463.1483505409,20
3081744422.3084350015.2465236796,20
3163691683.2543587316.3008818003,20
4048795062.30969931.3576814326,20
4049484737.1780803033.3827454047,20
103194708.168710215.908025231,19
1040213766.1792300221.3299175849,19
1305073023.693879311.2031831840,19
1362869012.1986111753.3968165639,19
1875969710.1923282554.2968098054,19
266969772.2215886700.1719208413,19
2800047605.404299377.369584275,19
2820421216.3835194991.1534677590,19
3148851016.4073082503.4109611149,19
4242165663.3234951694.415285565,19
486830399.1999248485.4063096732,19
56372897.754141349.3091682563,19
6573059.4015575391.4155963112,19
695261685.3857956025.1771191698,19
1416383583.3495289325.2315352010,18
1452793170.97754499.609387720,18
1513568414.2230770676.846862690,18
2144072062.841905614.3175005794,18
2155614076.3309236759.122644280,18
2205683548.2889555205.1496797032,18
2637714127.469350402.3546917707,18
3305087775.3221078848.3928397061,18
3525623097.691665850.573008558,18
3669546050.3630369673.2475670496,18
3744061988.1008498309.292985925,18
3746256417.1404468581.413954399,18
4252213206.44174887.2174454777,18
4272295072.328266646.912695178,18
988540060.3724578321.269932651,18
1275248043.275264043.3365392406,17
1300018116.17853569.755102439,17
1653148771.630050477.618185161,17
1977218636.1440485500.733512082,17
2111054727.1296563602.2943775561,17
2131572053.2710362925.3078456577,17
2197239428.3274729671.1924892176,17
227833596.2372007865.404362995,17
2360530235.2652159907.1870958951,17
2499467098.2233640012.781868836,17
2747620830.3275384247.1357319018,17
2877045873.2279661651.1869270200,17
3126468566.3716791783.1229598832,17
3252758072.3842420834.1584439003,17
3288676914.1820836319.3588941348,17
3728729216.3871359021.1582230517,17
3912117303.1651470364.2899166933,17
